"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 02:49:32 UTC 2025","Tue May 13 02:49:32 UTC 2025","291","","Test2 spec","","","","test 2 passes",""
"failed","Tue May 13 02:50:20 UTC 2025","Tue May 13 02:50:20 UTC 2025","124","","Test5 spec","","","","Test 5 failing",""
"passed","Tue May 13 02:50:16 UTC 2025","Tue May 13 02:50:16 UTC 2025","296","","Test12 spec","","","","test 12 passes",""
"failed","Tue May 13 02:49:36 UTC 2025","Tue May 13 02:49:36 UTC 2025","182","","Test3 spec","","","","Test 3 failing",""
"failed","Tue May 13 02:50:11 UTC 2025","Tue May 13 02:50:11 UTC 2025","237","","Test1 spec","","","","Test 1 failing",""
